experiment,dirty_mode,glyph_history,budget,visual_quality_score,dirty_cell_pressure,dirty_budget_violation_rate,contrast_violation_rate,orbit_temporal_continuity,orbit_glyph_stability,orbit_motion_aliasing_pressure,glyph_flips_per_second,path_index_discontinuity_rate,corner_glyph_instability,orbit_cells_changed_per_frame,foreground_clarity,background_atmosphere,particle_spectral_quality,temporal_high_band_energy,local_flicker_discomfort,phase_coherence,stable_foreground_score,logo_color_stability
ablations,naive,off,640,75.0722,0.3244,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9680,0.0915,0.3910,0.0047,0.0000,0.9758,0.9756,0.9500
ablations,uniform-threshold,off,640,76.8557,0.1237,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9680,0.0915,0.3910,0.0047,0.0000,0.9758,0.9756,0.9500
ablations,luminance-threshold,off,640,76.8803,0.1210,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9680,0.0915,0.3910,0.0047,0.0000,0.9758,0.9756,0.9500
ablations,priority-dirty,off,640,75.0722,0.3244,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9680,0.0915,0.3910,0.0047,0.0000,0.9758,0.9756,0.9500
ablations,topology-only,path,640,76.8191,0.1253,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
ablations,role-aware,off,640,75.9333,0.2275,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9680,0.0915,0.3910,0.0047,0.0000,0.9758,0.9756,0.9500
ablations,full,screen-cell,640,75.8958,0.2292,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
ablations,full,path,640,75.8958,0.2292,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
ablations,full,topology-dp,640,75.8958,0.2292,0.0000,0.0000,0.9885,1.0000,0.0103,0.0000,0.0206,0.0000,0.8732,0.9679,0.0916,0.3910,0.0050,0.0000,0.9738,0.9743,0.9500
glyph-stress,full,off,640,85.3844,0.0062,0.0000,0.0000,1.0000,0.5000,0.0000,480.0000,0.0000,0.5070,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
glyph-stress,full,screen-cell,640,87.5362,0.0015,0.0000,0.0000,1.0000,0.8768,0.0000,118.3099,0.0000,0.1268,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
glyph-stress,full,path,640,87.7674,0.0010,0.0000,0.0000,1.0000,0.9173,0.0000,79.4366,0.0000,0.0810,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
glyph-stress,full,topology-dp,640,88.2400,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
