frame,synthetic_frame_time_ms,dirty_pressure,target_fps,quality_percent,low_latency_active,missed_deadlines,event
0,2.0000,80,125,100,false,0,steady_full_visual
1,2.0000,80,125,100,false,0,steady_full_visual
2,2.0000,80,125,100,false,0,steady_full_visual
3,2.0000,80,125,100,false,0,steady_full_visual
4,2.0000,80,125,100,false,0,steady_full_visual
5,2.0000,80,125,100,false,0,steady_full_visual
6,2.0000,80,125,100,false,0,steady_full_visual
7,2.0000,80,125,100,false,0,steady_full_visual
8,2.0000,80,125,100,false,0,steady_full_visual
9,2.0000,80,125,100,false,0,steady_full_visual
10,2.0000,80,125,100,false,0,steady_full_visual
11,2.0000,80,125,100,false,0,steady_full_visual
12,2.0000,80,125,100,false,0,steady_full_visual
13,2.0000,80,125,100,false,0,steady_full_visual
14,2.0000,80,125,100,false,0,steady_full_visual
15,2.0000,80,125,100,false,0,steady_full_visual
16,2.0000,80,125,100,false,0,steady_full_visual
17,2.0000,80,125,100,false,0,steady_full_visual
18,2.0000,80,125,100,false,0,steady_full_visual
19,2.0000,80,125,100,false,0,steady_full_visual
20,30.0000,1060,90,92,true,1,overload_low_latency_active
21,30.0000,1060,75,85,true,2,overload_low_latency_active
22,30.0000,1060,60,78,true,3,overload_low_latency_active
23,30.0000,1060,60,72,true,4,overload_low_latency_active
24,30.0000,1060,60,66,true,5,overload_low_latency_active
25,2.0000,80,60,66,true,5,recovery_low_latency_active
26,2.0000,80,60,66,true,5,recovery_low_latency_active
27,2.0000,80,60,66,true,5,recovery_low_latency_active
28,2.0000,80,60,66,true,5,recovery_low_latency_active
29,2.0000,80,60,66,true,5,recovery_low_latency_active
30,2.0000,80,60,66,true,5,recovery_low_latency_active
31,2.0000,80,60,66,true,5,recovery_low_latency_active
32,2.0000,80,60,66,true,5,recovery_low_latency_active
33,2.0000,80,60,66,true,5,recovery_low_latency_active
34,2.0000,80,60,66,true,5,recovery_low_latency_active
35,2.0000,80,60,66,true,5,recovery_low_latency_active
36,2.0000,80,60,66,true,5,recovery_low_latency_active
37,2.0000,80,60,66,true,5,recovery_low_latency_active
38,2.0000,80,60,66,true,5,recovery_low_latency_active
39,2.0000,80,60,66,true,5,recovery_low_latency_active
40,2.0000,80,60,66,true,5,recovery_low_latency_active
41,2.0000,80,60,66,true,5,recovery_low_latency_active
42,2.0000,80,60,66,true,5,recovery_low_latency_active
43,2.0000,80,60,66,true,5,recovery_low_latency_active
44,2.0000,80,60,66,true,5,recovery_low_latency_active
45,2.0000,80,60,66,true,5,recovery_low_latency_active
46,2.0000,80,60,66,true,5,recovery_low_latency_active
47,2.0000,80,60,66,true,5,recovery_low_latency_active
48,2.0000,80,60,66,true,5,recovery_low_latency_active
49,2.0000,80,60,66,true,5,recovery_low_latency_active
50,2.0000,80,60,66,true,5,recovery_low_latency_active
51,2.0000,80,60,66,true,5,recovery_low_latency_active
52,2.0000,80,60,66,true,5,recovery_low_latency_active
53,2.0000,80,60,66,true,5,recovery_low_latency_active
54,2.0000,80,60,66,true,5,recovery_low_latency_active
55,2.0000,80,60,66,true,5,recovery_low_latency_active
56,2.0000,80,60,66,true,5,recovery_low_latency_active
57,2.0000,80,60,66,true,5,recovery_low_latency_active
58,2.0000,80,60,66,true,5,recovery_low_latency_active
59,2.0000,80,60,66,true,5,recovery_low_latency_active
60,2.0000,80,60,66,true,5,recovery_low_latency_active
61,2.0000,80,60,66,true,5,recovery_low_latency_active
62,2.0000,80,60,66,true,5,recovery_low_latency_active
63,2.0000,80,60,66,true,5,recovery_low_latency_active
64,2.0000,80,60,66,true,5,recovery_low_latency_active
65,2.0000,80,60,66,true,5,recovery_low_latency_active
66,2.0000,80,60,66,true,5,recovery_low_latency_active
67,2.0000,80,60,66,true,5,recovery_low_latency_active
68,2.0000,80,60,66,true,5,recovery_low_latency_active
69,2.0000,80,60,66,true,5,recovery_low_latency_active
70,2.0000,80,60,66,true,5,recovery_low_latency_active
71,2.0000,80,60,66,true,5,recovery_low_latency_active
72,2.0000,80,60,66,true,5,recovery_low_latency_active
73,2.0000,80,60,66,true,5,recovery_low_latency_active
74,2.0000,80,60,66,true,5,recovery_low_latency_active
75,2.0000,80,60,66,true,5,recovery_low_latency_active
76,2.0000,80,60,66,true,5,recovery_low_latency_active
77,2.0000,80,60,66,true,5,recovery_low_latency_active
78,2.0000,80,60,66,true,5,recovery_low_latency_active
79,2.0000,80,60,66,true,5,recovery_low_latency_active
80,2.0000,80,60,66,true,5,recovery_low_latency_active
81,2.0000,80,60,66,true,5,recovery_low_latency_active
82,2.0000,80,60,66,true,5,recovery_low_latency_active
83,2.0000,80,60,66,true,5,recovery_low_latency_active
84,2.0000,80,60,66,true,5,recovery_low_latency_active
85,2.0000,80,60,66,true,5,recovery_low_latency_active
86,2.0000,80,60,66,true,5,recovery_low_latency_active
87,2.0000,80,60,66,true,5,recovery_low_latency_active
88,2.0000,80,60,66,true,5,recovery_low_latency_active
89,2.0000,80,60,66,true,5,recovery_low_latency_active
90,30.0000,1060,60,61,true,6,overload_low_latency_active
91,30.0000,1060,60,56,true,7,overload_low_latency_active
92,30.0000,1060,60,52,true,8,overload_low_latency_active
93,30.0000,1060,60,52,true,9,overload_low_latency_active
94,30.0000,1060,60,52,true,10,overload_low_latency_active
95,2.0000,80,60,52,true,10,recovery_low_latency_active
96,2.0000,80,60,52,true,10,recovery_low_latency_active
97,2.0000,80,60,52,true,10,recovery_low_latency_active
98,2.0000,80,60,52,true,10,recovery_low_latency_active
99,2.0000,80,60,52,true,10,recovery_low_latency_active
100,2.0000,80,60,52,true,10,recovery_low_latency_active
101,2.0000,80,60,52,true,10,recovery_low_latency_active
102,2.0000,80,60,52,true,10,recovery_low_latency_active
103,2.0000,80,60,52,true,10,recovery_low_latency_active
104,2.0000,80,60,52,true,10,recovery_low_latency_active
105,2.0000,80,60,52,true,10,recovery_low_latency_active
106,2.0000,80,60,52,true,10,recovery_low_latency_active
107,2.0000,80,60,52,true,10,recovery_low_latency_active
108,2.0000,80,60,52,true,10,recovery_low_latency_active
109,2.0000,80,60,52,true,10,recovery_low_latency_active
110,2.0000,80,60,52,true,10,recovery_low_latency_active
111,2.0000,80,60,52,true,10,recovery_low_latency_active
112,2.0000,80,60,52,true,10,recovery_low_latency_active
