experiment,dirty_mode,glyph_history,budget,visual_quality_score,dirty_cell_pressure,dirty_budget_violation_rate,contrast_violation_rate,orbit_temporal_continuity,orbit_glyph_stability,orbit_motion_aliasing_pressure,glyph_flips_per_second,path_index_discontinuity_rate,corner_glyph_instability,orbit_cells_changed_per_frame,foreground_clarity,background_atmosphere,particle_spectral_quality,temporal_high_band_energy,local_flicker_discomfort,phase_coherence,stable_foreground_score,logo_color_stability
dirty-budget,naive,path,160,66.5533,1.2249,0.6761,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,uniform-threshold,path,160,79.0243,0.4304,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,luminance-threshold,path,160,79.0877,0.4232,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,priority-dirty,path,160,68.5979,0.9949,0.6761,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,topology-only,path,160,79.0243,0.4304,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,role-aware,path,160,72.2786,0.8470,0.3803,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,full,path,160,72.2786,0.8470,0.3803,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,naive,path,240,73.4502,0.8166,0.2676,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,uniform-threshold,path,240,80.2995,0.2869,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,luminance-threshold,path,240,80.3417,0.2822,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,priority-dirty,path,240,73.4888,0.8123,0.2676,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,topology-only,path,240,80.2995,0.2869,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,role-aware,path,240,77.8305,0.5647,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,full,path,240,77.8305,0.5647,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,naive,path,320,77.4058,0.6125,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,uniform-threshold,path,320,80.9371,0.2152,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
dirty-budget,luminance-threshold,path,320,80.9688,0.2116,0.0000,0.0000,0.9847,1.0000,0.0104,0.0000,0.0208,0.0000,0.8732,0.9679,0.1782,0.5091,0.0041,0.0000,0.9931,0.9728,0.9500
