variant,normalization,temporal_weight,local_weight,topology_weight,corner_weight,dataset,glyph_alphabet,corner_identity_flip_rate,glyph_flips_per_second,stroke_metric_difference,verdict
default,raw,1.8000,0.5500,2.4000,0.3500,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
default,raw,1.8000,0.5500,2.4000,0.3500,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
default,raw,1.8000,0.5500,2.4000,0.3500,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
default,raw,1.8000,0.5500,2.4000,0.3500,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
default,raw,1.8000,0.5500,2.4000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
default,raw,1.8000,0.5500,2.4000,0.3500,bounded-jitter,unicode,0.1690,0.0000,0.0000,partially-stable
default,normalized,1.8000,0.5500,2.4000,0.3500,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
default,normalized,1.8000,0.5500,2.4000,0.3500,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
default,normalized,1.8000,0.5500,2.4000,0.3500,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
default,normalized,1.8000,0.5500,2.4000,0.3500,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
default,normalized,1.8000,0.5500,2.4000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
default,normalized,1.8000,0.5500,2.4000,0.3500,bounded-jitter,unicode,0.1690,0.0000,0.0000,partially-stable
temporal-low,raw,0.9000,0.5500,2.4000,0.3500,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
temporal-low,raw,0.9000,0.5500,2.4000,0.3500,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
temporal-low,raw,0.9000,0.5500,2.4000,0.3500,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
temporal-low,raw,0.9000,0.5500,2.4000,0.3500,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
temporal-low,raw,0.9000,0.5500,2.4000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
temporal-low,raw,0.9000,0.5500,2.4000,0.3500,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
temporal-low,normalized,1.0929,0.6679,2.9143,0.4250,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
temporal-low,normalized,1.0929,0.6679,2.9143,0.4250,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
temporal-low,normalized,1.0929,0.6679,2.9143,0.4250,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
temporal-low,normalized,1.0929,0.6679,2.9143,0.4250,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
temporal-low,normalized,1.0929,0.6679,2.9143,0.4250,high-speed,unicode,1.0000,182.5352,0.1014,unstable
temporal-low,normalized,1.0929,0.6679,2.9143,0.4250,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
temporal-high,raw,2.7000,0.5500,2.4000,0.3500,real-orbit,unicode,0.0810,79.4366,0.0276,partially-stable
temporal-high,raw,2.7000,0.5500,2.4000,0.3500,glyph-stress,unicode,0.0810,79.4366,0.0276,partially-stable
temporal-high,raw,2.7000,0.5500,2.4000,0.3500,glyph-stress-ascii,ascii,0.0810,79.4366,0.0276,partially-stable
temporal-high,raw,2.7000,0.5500,2.4000,0.3500,glyph-stress-degraded,degraded,0.0827,79.4366,0.0000,partially-stable
temporal-high,raw,2.7000,0.5500,2.4000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
temporal-high,raw,2.7000,0.5500,2.4000,0.3500,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
temporal-high,normalized,2.2950,0.4675,2.0400,0.2975,real-orbit,unicode,0.0810,79.4366,0.0276,partially-stable
temporal-high,normalized,2.2950,0.4675,2.0400,0.2975,glyph-stress,unicode,0.0810,79.4366,0.0276,partially-stable
temporal-high,normalized,2.2950,0.4675,2.0400,0.2975,glyph-stress-ascii,ascii,0.0810,79.4366,0.0276,partially-stable
temporal-high,normalized,2.2950,0.4675,2.0400,0.2975,glyph-stress-degraded,degraded,0.0827,79.4366,0.0000,partially-stable
temporal-high,normalized,2.2950,0.4675,2.0400,0.2975,high-speed,unicode,1.0000,182.5352,0.1014,unstable
temporal-high,normalized,2.2950,0.4675,2.0400,0.2975,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
local-low,raw,1.8000,0.2750,2.4000,0.3500,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
local-low,raw,1.8000,0.2750,2.4000,0.3500,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
local-low,raw,1.8000,0.2750,2.4000,0.3500,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
local-low,raw,1.8000,0.2750,2.4000,0.3500,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
local-low,raw,1.8000,0.2750,2.4000,0.3500,high-speed,unicode,1.0000,182.5352,0.1014,unstable
local-low,raw,1.8000,0.2750,2.4000,0.3500,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
local-low,normalized,1.9026,0.2907,2.5368,0.3699,real-orbit,unicode,0.0000,0.0000,0.0000,topology-stable
local-low,normalized,1.9026,0.2907,2.5368,0.3699,glyph-stress,unicode,0.0000,0.0000,0.0000,topology-stable
local-low,normalized,1.9026,0.2907,2.5368,0.3699,glyph-stress-ascii,ascii,0.0000,0.0000,0.0000,topology-stable
local-low,normalized,1.9026,0.2907,2.5368,0.3699,glyph-stress-degraded,degraded,0.0000,0.0000,0.0000,topology-stable
local-low,normalized,1.9026,0.2907,2.5368,0.3699,high-speed,unicode,1.0000,182.5352,0.1014,unstable
local-low,normalized,1.9026,0.2907,2.5368,0.3699,bounded-jitter,unicode,0.0000,0.0000,0.0000,partially-stable
